Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,No. iterations,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,ANOVA_GLA_BRA_180_df,Genetic Algorithm,kNN,501,259.0,50,0.777777778,0.780771373,0.777777778,0.762215998
Hybrid approach,ANOVA_GLA_BRA_180_df,Genetic Algorithm,kNN,501,264.0,100,0.75,0.751009468,0.75,0.732032628
Hybrid approach,ANOVA_GLA_BRA_180_df,Genetic Algorithm,kNN,501,259.0,200,0.805555556,0.811838624,0.805555556,0.796568627
Hybrid approach,ANOVA_GLA_BRA_180_df,Genetic Algorithm,kNN,501,250.0,500,0.75,0.7275651,0.75,0.732245703
Hybrid approach,ANOVA_GLA_BRA_180_df,Genetic Algorithm,kNN,501,251.0,1000,0.777777778,0.773589065,0.777777778,0.771036387
Hybrid approach,ANOVA_GLA_BRA_180_df,Genetic Algorithm,kNN,501,243.0,2000,0.805555556,0.826829806,0.805555556,0.803104575
Hybrid approach,ANOVA_GLA_BRA_180_df,Genetic Algorithm,kNN,501,,0,,,,0.86
Hybrid approach,chi2_lung_cancer_df,Genetic Algorithm,kNN,501,256.0,50,0.975,0.98,0.975,0.976161616
Hybrid approach,chi2_lung_cancer_df,Genetic Algorithm,kNN,501,270.0,100,0.95,0.96,0.95,0.951851852
Hybrid approach,chi2_lung_cancer_df,Genetic Algorithm,kNN,501,286.0,200,0.975,0.98,0.975,0.976161616
Hybrid approach,chi2_lung_cancer_df,Genetic Algorithm,kNN,501,285.0,500,0.975,0.98,0.975,0.976161616
Hybrid approach,chi2_lung_cancer_df,Genetic Algorithm,kNN,501,297.0,1000,0.975,0.98,0.975,0.976161616
Hybrid approach,chi2_lung_cancer_df,Genetic Algorithm,kNN,501,298.0,2000,0.95,0.955,0.95,0.949603175
Hybrid approach,chi2_lung_cancer_df,Genetic Algorithm,kNN,501,,0,,,,0.98
Hybrid approach,chi2_GLA_BRA_180_df,Genetic Algorithm,kNN,501,255.0,50,0.805555556,0.824514991,0.805555556,0.791941045
Hybrid approach,chi2_GLA_BRA_180_df,Genetic Algorithm,kNN,501,247.0,100,0.75,0.72786132,0.75,0.721560847
Hybrid approach,chi2_GLA_BRA_180_df,Genetic Algorithm,kNN,501,251.0,200,0.75,0.742997199,0.75,0.739758698
Hybrid approach,chi2_GLA_BRA_180_df,Genetic Algorithm,kNN,501,244.0,500,0.833333333,0.838585434,0.833333333,0.82842312
Hybrid approach,chi2_GLA_BRA_180_df,Genetic Algorithm,kNN,501,257.0,1000,0.805555556,0.811838624,0.805555556,0.796568627
Hybrid approach,chi2_GLA_BRA_180_df,Genetic Algorithm,kNN,501,264.0,2000,0.777777778,0.80952381,0.777777778,0.761554622
Hybrid approach,chi2_GLA_BRA_180_df,Genetic Algorithm,kNN,501,,0,,,,0.86
Hybrid approach,MI_lung_cancer_df,Genetic Algorithm,kNN,501,258.0,50,0.975,0.98,0.975,0.976161616
Hybrid approach,MI_lung_cancer_df,Genetic Algorithm,kNN,501,284.0,100,0.975,0.98,0.975,0.976161616
Hybrid approach,MI_lung_cancer_df,Genetic Algorithm,kNN,501,288.0,200,0.975,0.98,0.975,0.976161616
Hybrid approach,MI_lung_cancer_df,Genetic Algorithm,kNN,501,275.0,500,0.95,0.955,0.95,0.949603175
Hybrid approach,MI_lung_cancer_df,Genetic Algorithm,kNN,501,284.0,1000,0.975,0.98,0.975,0.976161616
Hybrid approach,MI_lung_cancer_df,Genetic Algorithm,kNN,501,286.0,2000,0.975,0.98,0.975,0.976161616
Hybrid approach,MI_lung_cancer_df,Genetic Algorithm,kNN,501,,0,,,,0.98
Hybrid approach,MI_GLA_BRA_180_df,Genetic Algorithm,kNN,501,248.0,50,0.777777778,0.773589065,0.777777778,0.771036387
Hybrid approach,MI_GLA_BRA_180_df,Genetic Algorithm,kNN,501,222.0,100,0.805555556,0.814484127,0.805555556,0.804012346
Hybrid approach,MI_GLA_BRA_180_df,Genetic Algorithm,kNN,501,246.0,200,0.805555556,0.820453913,0.805555556,0.794895736
Hybrid approach,MI_GLA_BRA_180_df,Genetic Algorithm,kNN,501,257.0,500,0.861111111,0.880252101,0.861111111,0.859650426
Hybrid approach,MI_GLA_BRA_180_df,Genetic Algorithm,kNN,501,238.0,1000,0.805555556,0.805224868,0.805555556,0.793391431
Hybrid approach,MI_GLA_BRA_180_df,Genetic Algorithm,kNN,501,260.0,2000,0.777777778,0.773589065,0.777777778,0.771036387
Hybrid approach,MI_GLA_BRA_180_df,Genetic Algorithm,kNN,501,,0,,,,0.86
