Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,No. iterations,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,RF_GLA_BRA_180_df,Genetic Algorithm,kNN,501,277,2000,0.805555556,0.808641975,0.805555556,0.800917673
Hybrid approach,RF_GLA_BRA_180_df,Genetic Algorithm,kNN,501,,0,,,,0.86
Hybrid approach,SVM_RFE_lung_cancer_df,Genetic Algorithm,SVM,51,40,50,0.95,0.955,0.95,0.949603175
Hybrid approach,SVM_RFE_lung_cancer_df,Genetic Algorithm,SVM,51,51,100,0.975,0.98,0.975,0.976161616
Hybrid approach,SVM_RFE_lung_cancer_df,Genetic Algorithm,SVM,51,51,200,0.975,0.98,0.975,0.976161616
Hybrid approach,SVM_RFE_lung_cancer_df,Genetic Algorithm,SVM,51,51,500,0.975,0.98,0.975,0.976161616
Hybrid approach,SVM_RFE_lung_cancer_df,Genetic Algorithm,SVM,51,49,1000,0.975,0.98,0.975,0.976161616
Hybrid approach,SVM_RFE_lung_cancer_df,Genetic Algorithm,SVM,51,51,2000,0.975,0.98,0.975,0.976161616
Hybrid approach,SVM_RFE_lung_cancer_df,Genetic Algorithm,SVM,51,,0,,,,0.98
Hybrid approach,SVM_RFE_barretNP_df,Genetic Algorithm,RF,51,44,50,0.5,0.587121212,0.5,0.477284664
Hybrid approach,SVM_RFE_barretNP_df,Genetic Algorithm,RF,51,47,100,0.5,0.494791667,0.5,0.488839286
Hybrid approach,SVM_RFE_barretNP_df,Genetic Algorithm,RF,51,49,200,0.625,0.604166667,0.625,0.604910714
Hybrid approach,SVM_RFE_barretNP_df,Genetic Algorithm,RF,51,50,500,0.4375,0.463541667,0.4375,0.436458333
Hybrid approach,SVM_RFE_barretNP_df,Genetic Algorithm,RF,51,49,1000,0.5625,0.583333333,0.5625,0.555902778
Hybrid approach,SVM_RFE_barretNP_df,Genetic Algorithm,RF,51,50,2000,0.625,0.604166667,0.625,0.604910714
Hybrid approach,SVM_RFE_barretNP_df,Genetic Algorithm,RF,51,,0,,,,0.68
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Genetic Algorithm,RF,101,70,50,0.722222222,0.615740741,0.722222222,0.663299663
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Genetic Algorithm,RF,101,74,100,0.75,0.655508072,0.75,0.698138676
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Genetic Algorithm,RF,101,78,200,0.75,0.648989899,0.75,0.694444444
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Genetic Algorithm,RF,101,81,500,0.722222222,0.615740741,0.722222222,0.663299663
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Genetic Algorithm,RF,101,78,1000,0.722222222,0.617724868,0.722222222,0.661549708
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Genetic Algorithm,RF,101,81,2000,0.777777778,0.674242424,0.777777778,0.720899471
Hybrid approach,Ridge_GLA_BRA_180_df,Genetic Algorithm,kNN,1001,494,50,0.75,0.75157563,0.75,0.743686869
Hybrid approach,Ridge_GLA_BRA_180_df,Genetic Algorithm,kNN,1001,474,100,0.75,0.767416226,0.75,0.746096587
Hybrid approach,Ridge_GLA_BRA_180_df,Genetic Algorithm,kNN,1001,478,200,0.75,0.745811287,0.75,0.743258609
Hybrid approach,Ridge_GLA_BRA_180_df,Genetic Algorithm,kNN,1001,506,500,0.722222222,0.742724868,0.722222222,0.70009295
Hybrid approach,Ridge_GLA_BRA_180_df,Genetic Algorithm,kNN,1001,509,1000,0.75,0.752425044,0.75,0.739560639
Hybrid approach,Ridge_GLA_BRA_180_df,Genetic Algorithm,kNN,1001,509,2000,0.75,0.750765803,0.75,0.734776688
Hybrid approach,Ridge_GLA_BRA_180_df,Genetic Algorithm,kNN,1001,,0,,,,0.79
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Genetic Algorithm,RF,101,,0,,,,0.72
